# Wlen(nm) Transmission Continuum
1.921601046545239342e+03 1.816462093507454911e-01 8.112308690594180007e+03
1.921607733489628799e+03 1.892698537468519293e-01 8.116998133120047896e+03
1.921614237579592555e+03 1.828835187518632055e-01 8.121549589441244279e+03
1.921620986097913374e+03 1.616013965576532097e-01 8.126261935555882701e+03
1.921627491878756246e+03 1.276335338339031067e-01 8.130794999764652857e+03
1.921634174419434885e+03 8.723721281169903585e-02 8.135441236357021808e+03
1.921640745753738656e+03 5.020545946078154576e-02 8.140000291061442113e+03
1.921647362143825831e+03 2.508337200864420649e-02 8.144580733900363157e+03
1.921653999204299907e+03 1.415860731370851416e-02 8.149165545583538005e+03
1.921660549270781758e+03 1.419386394401140304e-02 8.153680510747954941e+03
1.921667252230207851e+03 1.945124260207762093e-02 8.158290845576015272e+03
1.921673755542278059e+03 2.345006284092377574e-02 8.162754184509698462e+03
1.921680485088588284e+03 2.201994339155640551e-02 8.167362767941507627e+03
1.921687007966370629e+03 1.594988362819971250e-02 8.171820097923968206e+03
1.921693670770323024e+03 9.015014845974991461e-03 8.176363175087356467e+03
1.921700259965252371e+03 4.091577315637060647e-03 8.180846261429097467e+03
1.921706855853566140e+03 1.936784377206364222e-03 8.185324151016397991e+03
1.921713511538693183e+03 2.638391713259566340e-03 8.189832757228230548e+03
1.921720040338014769e+03 7.405516325165084970e-03 8.194245778212845835e+03
1.921726762686461370e+03 1.919072356776386698e-02 8.198779667511093066e+03
1.921733265218658289e+03 4.153009018908410122e-02 8.203155698320282681e+03
1.921739972412243787e+03 7.593891809637599855e-02 8.207659576443269543e+03
1.921746515763135676e+03 1.203896067879365317e-01 8.212043771204071163e+03
1.921753155448137250e+03 1.703641714526834272e-01 8.216482766458091646e+03
1.921759765881376097e+03 2.211191782877459377e-01 8.220892463050662627e+03
1.921766337884173254e+03 2.691940388575336796e-01 8.225266896941009691e+03
1.921773015573152406e+03 3.127328018394519571e-01 8.229701856009598487e+03
1.921779519720041890e+03 3.511303705336555336e-01 8.234012050292802087e+03
1.921786264838219950e+03 3.845521312505337241e-01 8.238472032205931100e+03
1.921792766588562699e+03 4.135543966928744153e-01 8.242761563652400582e+03
1.921799448041967707e+03 4.387426968886731782e-01 8.247159916050584798e+03
1.921806015248870835e+03 4.606769473095598255e-01 8.251473451271804151e+03
1.921812628425941284e+03 4.798541563377076158e-01 8.255807563866603232e+03
1.921819263481916551e+03 4.967300263066806165e-01 8.260146326477763068e+03
1.921825808208690660e+03 5.116824692071838543e-01 8.264416523481784679e+03
1.921832511287469515e+03 5.250160036720749046e-01 8.268780271361394625e+03
1.921839012432162008e+03 5.369848246779003187e-01 8.273003125743467535e+03
