# Wlen(nm) Flux Flux_err
1.922492669679528262e+03 4.310184216537714747e+03 9.253742427877915588e+01
1.922499393943006908e+03 4.429841703523667093e+03 9.253742427877915588e+01
1.922505886191283025e+03 4.401649315946651768e+03 9.253742427877915588e+01
1.922512552442108017e+03 4.283984394687077838e+03 9.253742427877915588e+01
1.922519111958068379e+03 4.318206795155196232e+03 9.253742427877915588e+01
1.922525700629182666e+03 4.443064535936002358e+03 9.253742427877915588e+01
1.922532337285214908e+03 4.413667369533403871e+03 9.253742427877915588e+01
1.922538848198528285e+03 4.467015157643728344e+03 9.253742427877915588e+01
1.922545562172504106e+03 4.431785246665882369e+03 9.253742427877915588e+01
1.922552053796669270e+03 4.469495420621105040e+03 9.253742427877915588e+01
1.922558727971726285e+03 4.505630538638779399e+03 9.253742427877915588e+01
1.922565278060294986e+03 4.470981947868691350e+03 9.253742427877915588e+01
1.922571874046398761e+03 4.462596851986522779e+03 9.253742427877915588e+01
1.922578501883487888e+03 4.452104914638658556e+03 9.253742427877915588e+01
1.922585019502268096e+03 4.437881865108584861e+03 9.253742427877915588e+01
1.922591725266008780e+03 4.418298646961171471e+03 9.253742427877915588e+01
1.922598216264859047e+03 4.450507018373490610e+03 9.253742427877915588e+01
1.922604896280784942e+03 4.413363585054590658e+03 9.253742427877915588e+01
1.922611439022572767e+03 4.326872266758900878e+03 9.253742427877915588e+01
1.922618040239366337e+03 4.400822943247976582e+03 9.253742427877915588e+01
1.922624661339038539e+03 4.381279823996074811e+03 9.253742427877915588e+01
1.922631183578071386e+03 4.424194379531416416e+03 9.253742427877915588e+01
1.922637883214039221e+03 4.449729030282868735e+03 9.253742427877915588e+01
1.922644373586375195e+03 4.487929811432691167e+03 9.253742427877915588e+01
1.922651057356619958e+03 4.428534026449630801e+03 9.253742427877915588e+01
1.922657594835399777e+03 4.394997167154309864e+03 9.253742427877915588e+01
1.922664199195423407e+03 4.259557690448104040e+03 9.253742427877915588e+01
1.922670815642381967e+03 4.248602392385310850e+03 9.253742427877915588e+01
1.922677340413262073e+03 4.223200123571127733e+03 9.253742427877915588e+01
1.922684036007072564e+03 4.194925769057872458e+03 9.253742427877915588e+01
1.922690525751688710e+03 4.179496811556441571e+03 9.253742427877915588e+01
1.922697211186533877e+03 4.204743831477689127e+03 9.253742427877915588e+01
1.922703745489265884e+03 4.170302219855790099e+03 9.253742427877915588e+01
1.922710350901852507e+03 4.089890802424401500e+03 9.253742427877915588e+01
1.922716964783980529e+03 4.087980687987630972e+03 9.253742427877915588e+01
1.922723489995138607e+03 4.010758966417741249e+03 9.253742427877915588e+01
